                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.55299,                0.42139,                 1.0183,                0.87909,                0.76784,                0.84344,                0.74064,                0.52839,                0.41336,                0.95133,             0.00032188,             0.00032188,             0.00032188
                     93,                0.54717,                0.41425,                  1.014,                0.78755,                0.85846,                0.84155,                0.74275,                0.52738,                0.41826,                0.95334,             0.00031156,             0.00031156,             0.00031156
                     94,                0.55555,                0.42176,                 1.0196,                0.77637,                0.86343,                0.84233,                0.74328,                0.52912,                0.41403,                0.95518,             0.00030125,             0.00030125,             0.00030125
                     95,                0.54835,                0.41421,                 1.0169,                0.87058,                0.79303,                0.84992,                0.74494,                0.53358,                0.42034,                0.95732,             0.00029094,             0.00029094,             0.00029094
                     96,                0.54716,                 0.4183,                 1.0145,                0.81823,                0.84624,                0.85329,                0.75093,                0.52829,                0.41342,                0.95567,             0.00028063,             0.00028063,             0.00028063
                     97,                0.54309,                0.41435,                  1.011,                0.81939,                0.79852,                0.84539,                0.74623,                0.52823,                0.41463,                0.95827,             0.00027031,             0.00027031,             0.00027031
                     98,                0.54133,                0.41155,                 1.0108,                0.82071,                0.82942,                0.85307,                0.75329,                0.52481,                0.41663,                0.95605,                0.00026,                0.00026,                0.00026
                     99,                0.54009,                0.41104,                 1.0085,                0.86747,                0.79953,                0.85438,                0.75254,                 0.5206,                0.41708,                0.95045,             0.00024969,             0.00024969,             0.00024969
                    100,                0.53617,                0.41103,                 1.0118,                0.84811,                 0.8244,                0.85926,                0.75723,                0.51479,                0.42146,                0.94903,             0.00023938,             0.00023938,             0.00023938
                    101,                0.53756,                0.40955,                 1.0085,                0.81794,                0.82942,                0.86265,                0.75771,                0.51622,                0.41437,                0.94834,             0.00022906,             0.00022906,             0.00022906
                    102,                0.53413,                0.40732,                 1.0095,                0.85276,                0.82598,                0.86101,                0.75312,                0.51781,                0.41381,                0.95055,             0.00021875,             0.00021875,             0.00021875
                    103,                0.52886,                0.40417,                 1.0044,                0.84862,                0.82187,                0.85534,                0.75535,                0.52015,                0.41338,                 0.9519,             0.00020844,             0.00020844,             0.00020844
                    104,                  0.531,                0.40489,                 1.0061,                0.86662,                0.82016,                0.85586,                0.75266,                0.51839,                0.41431,                0.95067,             0.00019813,             0.00019813,             0.00019813
                    105,                0.52695,                0.40114,                 1.0043,                0.85811,                 0.8279,                 0.8594,                0.75936,                0.51193,                0.40724,                0.94744,             0.00018781,             0.00018781,             0.00018781
                    106,                0.52139,                0.40189,                 1.0005,                0.87291,                0.84223,                0.86822,                0.76839,                0.51008,                0.40748,                0.94626,              0.0001775,              0.0001775,              0.0001775
                    107,                0.52076,                0.39953,                 1.0034,                0.82072,                0.84919,                0.86421,                0.76209,                0.50687,                0.40657,                0.94502,             0.00016719,             0.00016719,             0.00016719
                    108,                0.52091,                0.39679,                 1.0004,                0.84627,                0.85949,                0.86551,                0.76543,                0.50668,                  0.408,                0.94439,             0.00015688,             0.00015688,             0.00015688
                    109,                0.51343,                0.38995,                0.99984,                0.83562,                0.84704,                0.86492,                0.76457,                0.50332,                0.40953,                0.94204,             0.00014656,             0.00014656,             0.00014656
                    110,                  0.511,                0.39349,                0.99892,                0.83805,                0.84843,                0.86577,                0.76497,                0.50678,                0.40584,                0.94454,             0.00013625,             0.00013625,             0.00013625
                    111,                0.50578,                0.35557,                0.99377,                 0.8171,                0.85056,                0.85462,                0.75638,                0.51155,                0.41091,                0.94683,             0.00012594,             0.00012594,             0.00012594
                    112,                0.48234,                0.34057,                0.97254,                0.84174,                0.84893,                  0.861,                0.75941,                0.51429,                0.40809,                0.94837,             0.00011563,             0.00011563,             0.00011563
                    113,                0.47826,                0.33734,                0.97012,                0.83167,                0.85003,                0.85972,                0.76108,                0.51297,                0.41056,                0.94698,             0.00010531,             0.00010531,             0.00010531
                    114,                0.47152,                0.33694,                 0.9679,                0.84928,                0.85209,                0.86561,                0.76355,                0.51161,                0.40862,                0.94594,                9.5e-05,                9.5e-05,                9.5e-05
                    115,                0.46592,                0.33458,                0.96822,                0.85101,                0.82167,                0.85936,                0.76068,                0.51181,                0.40775,                0.94578,             8.4688e-05,             8.4688e-05,             8.4688e-05
                    116,                0.45562,                0.32818,                0.95995,                0.85062,                 0.8292,                0.86041,                0.76456,                0.50994,                0.40744,                0.94442,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    117,                0.45961,                0.32832,                0.96102,                 0.8145,                0.83148,                0.86116,                0.76018,                0.51067,                 0.4097,                0.94375,             6.4062e-05,             6.4062e-05,             6.4062e-05
                    118,                0.45417,                0.32861,                0.95938,                0.85788,                0.83851,                0.86544,                0.76601,                 0.5089,                0.41103,                0.94325,              5.375e-05,              5.375e-05,              5.375e-05
                    119,                 0.4521,                0.32324,                0.95519,                0.84164,                0.81912,                0.86373,                0.76398,                0.50654,                0.41042,                0.94102,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    120,                0.44918,                0.32545,                 0.9543,                0.84655,                0.82256,                0.86432,                0.76556,                0.50422,                0.40859,                0.93985,             3.3125e-05,             3.3125e-05,             3.3125e-05
